Order_ID,Order_Date,Customer_ID,Customer_Name,Category,Product,Region,State,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Mode
ORD1016,2026-05-16,CUST1016,Priya Patil,Electronics,Laptop,South,Tamil Nadu,6,84626,0.1,456980.4,285641.98,171338.42,Credit Card
ORD1017,2026-05-26,CUST1043,Tanvi Jain,Electronics,Headphones,North,Delhi,8,1901,0,15208,13295.99,1912.01,Net Banking
ORD1018,2026-02-12,CUST1020,Sahil Khan,Office Supplies,Notebook,North,Haryana,7,215,0,1505,1296.58,208.42,Debit Card
ORD1019,2026-04-23,CUST1036,Pooja Shah,Accessories,Mouse,West,Goa,4,647,0,2588,1647.64,940.36,Net Banking
ORD1020,2026-02-26,CUST1005,Akash Yadav,Electronics,Laptop,West,Gujarat,1,67326,0,67326,42921.95,24404.05,Credit Card
ORD1021,2026-03-13,CUST1027,Aditya Deshmukh,Accessories,USB Hub,North,Punjab,3,938,0.15,2391.9,1841.32,550.58,UPI
ORD1022,2026-01-25,CUST1042,Sneha Kulkarni,Accessories,Keyboard,West,Goa,7,2151,0.1,13551.3,10047.29,3504.01,UPI
ORD1023,2026-04-14,CUST1028,Neha Joshi,Office Supplies,Printer Paper,East,West Bengal,2,659,0,1318,882.81,435.19,Debit Card
ORD1024,2026-04-29,CUST1049,Pooja Shah,Furniture,Table Lamp,West,Maharashtra,8,1108,0.15,7534.4,4863.13,2671.27,Credit Card
ORD1025,2026-04-15,CUST1001,Sahil Khan,Accessories,USB Hub,North,Punjab,4,1485,0.1,5346.0,4568.88,777.12,Debit Card
ORD1026,2026-04-27,CUST1038,Riya Desai,Office Supplies,Pen Set,North,Delhi,8,316,0,2528,1692.18,835.82,UPI
ORD1027,2026-03-22,CUST1033,Rohan Mehta,Electronics,Smartphone,North,Delhi,8,21286,0.15,144744.8,124341.67,20403.13,Credit Card
ORD1028,2026-01-18,CUST1039,Priya Patil,Electronics,Headphones,North,Haryana,4,6731,0.1,24231.6,15778.9,8452.7,Net Banking
ORD1029,2026-01-21,CUST1017,Sahil Khan,Accessories,Keyboard,South,Karnataka,6,3392,0.05,19334.4,13014.13,6320.27,Credit Card
ORD1030,2026-06-21,CUST1035,Aditya Deshmukh,Office Supplies,Pen Set,West,Maharashtra,6,334,0,2004,1247.33,756.67,Net Banking
ORD1031,2026-03-09,CUST1035,Ananya Rao,Furniture,Office Chair,North,Punjab,2,10718,0,21436,15349.83,6086.17,Net Banking
ORD1032,2026-06-17,CUST1008,Sneha Kulkarni,Electronics,Laptop,North,Punjab,5,83173,0,415865,359358.01,56506.99,Net Banking
ORD1033,2026-02-09,CUST1032,Rahul Verma,Office Supplies,Notebook,South,Telangana,4,152,0.05,577.6,388.69,188.91,UPI
ORD1034,2026-01-24,CUST1017,Neha Joshi,Accessories,Keyboard,North,Haryana,1,1833,0,1833,1295.43,537.57,Cash
ORD1035,2026-05-22,CUST1003,Isha Gupta,Accessories,Keyboard,North,Haryana,1,2997,0,2997,1916.77,1080.23,Net Banking
ORD1036,2026-05-22,CUST1014,Pooja Shah,Furniture,Office Chair,West,Gujarat,3,12041,0,36123,25291.42,10831.58,UPI
ORD1037,2026-04-01,CUST1002,Neha Joshi,Accessories,Keyboard,North,Punjab,3,3242,0,9726,8216.5,1509.5,Debit Card
ORD1038,2026-04-16,CUST1015,Aditya Deshmukh,Furniture,Table Lamp,West,Gujarat,3,1892,0,5676,4083.66,1592.34,Cash
ORD1039,2026-03-31,CUST1018,Rohan Mehta,Office Supplies,Pen Set,East,Odisha,4,216,0,864,683.95,180.05,Debit Card
ORD1040,2026-03-31,CUST1038,Rahul Verma,Accessories,Backpack,South,Karnataka,6,3683,0,22098,14363.45,7734.55,UPI
ORD1041,2026-01-28,CUST1037,Aditya Deshmukh,Accessories,Keyboard,West,Gujarat,6,2115,0.1,11421.0,8881.13,2539.87,Debit Card
ORD1042,2026-01-12,CUST1021,Sneha Kulkarni,Accessories,Keyboard,South,Telangana,4,706,0.05,2682.8,1964.18,718.62,Debit Card
ORD1043,2026-05-10,CUST1009,Aditya Deshmukh,Office Supplies,Pen Set,South,Telangana,7,441,0.05,2932.65,2125.07,807.58,Cash
ORD1044,2026-06-20,CUST1001,Ananya Rao,Accessories,Backpack,East,Bihar,3,3674,0.15,9368.7,7194.86,2173.84,Debit Card
ORD1045,2026-02-23,CUST1031,Neha Joshi,Accessories,Keyboard,North,Haryana,6,3075,0.1,16605.0,12202.42,4402.58,UPI
ORD1046,2026-03-14,CUST1002,Priya Patil,Office Supplies,Printer Paper,North,Delhi,4,297,0.05,1128.6,765.65,362.95,Credit Card
ORD1047,2026-05-02,CUST1026,Pooja Shah,Electronics,Headphones,East,Odisha,7,4930,0.15,29333.5,19669.67,9663.83,Credit Card
ORD1048,2026-06-17,CUST1036,Pooja Shah,Electronics,Laptop,East,West Bengal,7,68492,0,479444,319180.51,160263.49,UPI
ORD1049,2026-04-27,CUST1029,Neha Joshi,Furniture,Office Chair,East,Bihar,6,12612,0.1,68104.8,53073.36,15031.44,Cash
ORD1050,2026-04-26,CUST1016,Rahul Verma,Office Supplies,Notebook,East,Bihar,4,272,0.05,1033.6,846.63,186.97,Cash
ORD1051,2026-01-20,CUST1010,Pooja Shah,Office Supplies,Pen Set,West,Maharashtra,5,220,0.05,1045.0,734.77,310.23,Cash
ORD1052,2026-06-27,CUST1030,Meera Nair,Furniture,Office Chair,South,Telangana,4,16573,0,66292,48251.67,18040.33,UPI
ORD1053,2026-02-22,CUST1020,Sahil Khan,Accessories,Keyboard,West,Gujarat,1,2295,0.15,1950.75,1402.39,548.36,Cash
ORD1054,2026-05-18,CUST1022,Sahil Khan,Furniture,Table Lamp,West,Gujarat,4,2799,0.05,10636.2,7799.71,2836.49,Credit Card
ORD1055,2026-04-30,CUST1042,Meera Nair,Furniture,Office Chair,West,Maharashtra,1,15195,0.1,13675.5,10583.36,3092.14,Credit Card
ORD1056,2026-04-29,CUST1022,Sahil Khan,Furniture,Desk,East,Odisha,5,7823,0.1,35203.5,24822.4,10381.1,Debit Card
ORD1057,2026-04-18,CUST1015,Rohan Mehta,Office Supplies,Notebook,West,Gujarat,2,293,0.1,527.4,329.65,197.75,UPI
ORD1058,2026-01-08,CUST1043,Sneha Kulkarni,Furniture,Table Lamp,North,Punjab,1,1616,0.15,1373.6,906.05,467.55,Net Banking
ORD1059,2026-02-25,CUST1020,Sneha Kulkarni,Accessories,Mouse,West,Maharashtra,5,1832,0.05,8702.0,5774.87,2927.13,Net Banking
ORD1060,2026-01-07,CUST1038,Pooja Shah,Office Supplies,Pen Set,North,Delhi,7,394,0.1,2482.2,2146.56,335.64,UPI
ORD1061,2026-06-28,CUST1028,Isha Gupta,Office Supplies,Pen Set,South,Telangana,2,450,0.15,765.0,629.97,135.03,UPI
ORD1062,2026-05-10,CUST1030,Vikram Singh,Office Supplies,Printer Paper,South,Telangana,7,256,0.1,1612.8,1044.19,568.61,Cash
ORD1063,2026-02-15,CUST1016,Rohan Mehta,Office Supplies,Notebook,South,Tamil Nadu,8,237,0.1,1706.4,1251.22,455.18,Debit Card
ORD1064,2026-04-26,CUST1032,Aditya Deshmukh,Furniture,Table Lamp,South,Karnataka,7,2703,0.05,17974.95,11278.6,6696.35,Debit Card
ORD1065,2026-03-08,CUST1016,Meera Nair,Office Supplies,Printer Paper,North,Delhi,5,393,0.15,1670.25,1039.96,630.29,Cash
ORD1066,2026-05-23,CUST1015,Sahil Khan,Furniture,Table Lamp,West,Gujarat,8,2750,0.1,19800.0,16358.02,3441.98,Credit Card
ORD1067,2026-03-20,CUST1045,Omkar Pawar,Office Supplies,Stapler,South,Tamil Nadu,6,362,0.1,1954.8,1718.51,236.29,Debit Card
ORD1068,2026-03-20,CUST1014,Tanvi Jain,Office Supplies,Notebook,North,Delhi,2,139,0,278,195.17,82.83,Debit Card
ORD1069,2026-05-31,CUST1001,Riya Desai,Office Supplies,Pen Set,North,Punjab,4,151,0.05,573.8,389.69,184.11,Credit Card
ORD1070,2026-03-12,CUST1001,Nikhil Shinde,Electronics,Smartphone,East,West Bengal,5,21573,0,107865,84765.29,23099.71,Debit Card
ORD1071,2026-05-01,CUST1008,Rohan Mehta,Accessories,USB Hub,South,Tamil Nadu,6,1402,0,8412,7327.1,1084.9,Cash
ORD1072,2026-05-06,CUST1016,Sneha Kulkarni,Electronics,Headphones,South,Karnataka,1,5926,0,5926,3904.0,2022.0,Net Banking
ORD1073,2026-04-17,CUST1028,Ananya Rao,Furniture,Table Lamp,South,Telangana,7,2940,0.1,18522.0,15858.74,2663.26,Net Banking
ORD1074,2026-06-08,CUST1016,Neha Joshi,Electronics,Smartphone,West,Maharashtra,4,24503,0,98012,67511.45,30500.55,Net Banking
ORD1075,2026-01-20,CUST1003,Pooja Shah,Furniture,Desk,East,Odisha,7,7043,0.1,44370.9,35462.84,8908.06,Debit Card
ORD1076,2026-06-30,CUST1038,Aditya Deshmukh,Office Supplies,Pen Set,South,Telangana,8,459,0,3672,2932.9,739.1,Cash
ORD1077,2026-01-30,CUST1011,Ananya Rao,Furniture,Table Lamp,West,Maharashtra,3,3452,0.05,9838.2,8214.15,1624.05,Net Banking
ORD1078,2026-05-26,CUST1033,Riya Desai,Office Supplies,Pen Set,East,Odisha,2,324,0.1,583.2,466.01,117.19,Cash
ORD1079,2026-04-23,CUST1006,Pooja Shah,Electronics,Headphones,South,Karnataka,1,6099,0.1,5489.1,4451.54,1037.56,Net Banking
ORD1080,2026-05-31,CUST1012,Nikhil Shinde,Electronics,Laptop,East,Odisha,1,73831,0,73831,54806.98,19024.02,Cash
ORD1081,2026-06-12,CUST1043,Sneha Kulkarni,Accessories,USB Hub,South,Tamil Nadu,2,2484,0.1,4471.2,3176.65,1294.55,Credit Card
ORD1082,2026-03-26,CUST1006,Kunal More,Accessories,Keyboard,West,Gujarat,5,2729,0.1,12280.5,10211.57,2068.93,Debit Card
ORD1083,2026-03-24,CUST1035,Omkar Pawar,Electronics,Monitor,West,Goa,7,24895,0.15,148125.25,123607.72,24517.53,Cash
ORD1084,2026-01-14,CUST1014,Rahul Verma,Furniture,Bookshelf,East,West Bengal,6,11994,0.15,61169.4,49955.53,11213.87,Net Banking
ORD1085,2026-02-03,CUST1011,Ananya Rao,Office Supplies,Pen Set,North,Haryana,8,324,0,2592,1626.5,965.5,Net Banking
ORD1086,2026-01-04,CUST1010,Tanvi Jain,Accessories,Keyboard,West,Goa,4,1081,0,4324,3199.66,1124.34,Debit Card
ORD1087,2026-05-11,CUST1013,Kavya Iyer,Office Supplies,Notebook,North,Punjab,8,186,0.1,1339.2,915.17,424.03,Net Banking
ORD1088,2026-02-04,CUST1019,Ananya Rao,Electronics,Headphones,South,Karnataka,7,3463,0.05,23028.95,19871.79,3157.16,Net Banking
ORD1089,2026-05-29,CUST1036,Riya Desai,Accessories,USB Hub,South,Tamil Nadu,3,2272,0.1,6134.4,4662.33,1472.07,Cash
ORD1090,2026-04-27,CUST1003,Kunal More,Office Supplies,Printer Paper,North,Punjab,4,695,0,2780,2136.9,643.1,Cash
ORD1091,2026-06-30,CUST1038,Kunal More,Accessories,Backpack,North,Haryana,3,2481,0.1,6698.7,5833.59,865.11,UPI
ORD1092,2026-04-23,CUST1010,Rohan Mehta,Electronics,Monitor,East,Bihar,8,17617,0,140936,113853.09,27082.91,Cash
ORD1093,2026-03-09,CUST1041,Tanvi Jain,Office Supplies,Printer Paper,East,Odisha,7,569,0,3983,3351.53,631.47,Net Banking
ORD1094,2026-01-10,CUST1049,Sneha Kulkarni,Electronics,Headphones,East,West Bengal,5,3123,0,15615,12713.1,2901.9,Cash
ORD1095,2026-02-12,CUST1024,Meera Nair,Office Supplies,Pen Set,South,Tamil Nadu,1,114,0.05,108.3,89.56,18.74,Credit Card
ORD1096,2026-03-04,CUST1044,Pooja Shah,Accessories,Keyboard,East,Bihar,3,3018,0,9054,6025.6,3028.4,Cash
ORD1097,2026-05-30,CUST1019,Riya Desai,Furniture,Office Chair,West,Gujarat,8,8804,0.05,66910.4,49479.46,17430.94,Credit Card
ORD1098,2026-01-19,CUST1013,Sahil Khan,Accessories,Mouse,East,Odisha,5,1107,0.1,4981.5,3982.62,998.88,Cash
ORD1099,2026-01-28,CUST1043,Sahil Khan,Furniture,Table Lamp,South,Karnataka,6,2362,0.15,12046.2,8395.32,3650.88,Debit Card
ORD1100,2026-01-03,CUST1041,Aditya Deshmukh,Electronics,Smartphone,South,Karnataka,5,50553,0,252765,196609.94,56155.06,Net Banking
ORD1101,2026-03-06,CUST1038,Isha Gupta,Furniture,Office Chair,East,West Bengal,2,15293,0,30586,21420.07,9165.93,Credit Card
ORD1102,2026-01-24,CUST1033,Rahul Verma,Office Supplies,Pen Set,South,Telangana,7,267,0,1869,1256.35,612.65,Credit Card
ORD1103,2026-03-07,CUST1010,Pooja Shah,Accessories,USB Hub,East,West Bengal,5,2481,0.05,11784.75,9770.74,2014.01,Cash
ORD1104,2026-05-23,CUST1024,Rahul Verma,Office Supplies,Stapler,West,Gujarat,7,166,0,1162,800.34,361.66,Net Banking
ORD1105,2026-04-08,CUST1015,Rohan Mehta,Office Supplies,Stapler,South,Telangana,4,175,0.1,630.0,394.7,235.3,Cash
ORD1106,2026-06-29,CUST1032,Sneha Kulkarni,Office Supplies,Pen Set,West,Gujarat,7,432,0,3024,1984.78,1039.22,UPI
ORD1107,2026-03-02,CUST1048,Vikram Singh,Furniture,Office Chair,East,Bihar,8,11367,0.05,86389.2,68621.22,17767.98,Cash
ORD1108,2026-06-17,CUST1045,Isha Gupta,Electronics,Monitor,South,Karnataka,8,22659,0.15,154081.2,111879.92,42201.28,Credit Card
ORD1109,2026-04-24,CUST1042,Isha Gupta,Accessories,Mouse,South,Telangana,6,883,0,5298,4635.97,662.03,UPI
ORD1110,2026-04-12,CUST1041,Kavya Iyer,Office Supplies,Notebook,North,Haryana,2,128,0.1,230.4,148.34,82.06,UPI
ORD1111,2026-01-13,CUST1014,Pooja Shah,Office Supplies,Printer Paper,North,Haryana,3,374,0.15,953.7,642.18,311.52,Debit Card
ORD1112,2026-02-07,CUST1043,Aarav Sharma,Electronics,Laptop,North,Delhi,3,74085,0,222255,169015.15,53239.85,Credit Card
ORD1113,2026-01-04,CUST1048,Meera Nair,Office Supplies,Stapler,West,Maharashtra,6,241,0,1446,962.03,483.97,Net Banking
ORD1114,2026-01-30,CUST1033,Pooja Shah,Electronics,Headphones,West,Gujarat,8,5101,0.05,38767.6,29209.13,9558.47,Net Banking
ORD1115,2026-01-12,CUST1044,Sneha Kulkarni,Office Supplies,Pen Set,East,Odisha,1,334,0,334,293.8,40.2,Cash
ORD1116,2026-04-24,CUST1040,Nikhil Shinde,Electronics,Headphones,North,Punjab,6,1861,0.15,9491.1,6250.52,3240.58,Net Banking
ORD1117,2026-03-25,CUST1045,Sneha Kulkarni,Accessories,Backpack,East,West Bengal,5,3346,0.1,15057.0,11314.48,3742.52,Net Banking
ORD1118,2026-02-25,CUST1027,Sneha Kulkarni,Accessories,Keyboard,East,Odisha,4,2549,0.1,9176.4,6498.01,2678.39,Debit Card
ORD1119,2026-04-20,CUST1006,Rohan Mehta,Office Supplies,Printer Paper,East,West Bengal,5,590,0.05,2802.5,2432.39,370.11,UPI
ORD1120,2026-04-21,CUST1008,Meera Nair,Electronics,Monitor,South,Telangana,6,21199,0,127194,97259.71,29934.29,Debit Card
ORD1121,2026-06-20,CUST1033,Aditya Deshmukh,Accessories,Keyboard,West,Goa,5,910,0.15,3867.5,2712.03,1155.47,Credit Card
ORD1122,2026-06-18,CUST1049,Rahul Verma,Accessories,USB Hub,South,Karnataka,2,959,0.05,1822.1,1530.19,291.91,Net Banking
ORD1123,2026-02-27,CUST1012,Rahul Verma,Accessories,Keyboard,South,Karnataka,1,2997,0.15,2547.45,2194.79,352.66,Debit Card
ORD1124,2026-03-28,CUST1010,Aarav Sharma,Office Supplies,Stapler,East,West Bengal,3,123,0,369,283.11,85.89,UPI
ORD1125,2026-05-16,CUST1047,Kunal More,Furniture,Bookshelf,South,Tamil Nadu,7,9663,0.1,60876.9,43139.38,17737.52,Net Banking
ORD1126,2026-06-02,CUST1006,Rahul Verma,Electronics,Headphones,West,Goa,3,1630,0,4890,3990.99,899.01,Cash
ORD1127,2026-06-19,CUST1028,Sneha Kulkarni,Accessories,Keyboard,West,Gujarat,8,2689,0.1,19360.8,13378.77,5982.03,Debit Card
ORD1128,2026-06-23,CUST1014,Ananya Rao,Accessories,USB Hub,West,Maharashtra,5,1579,0,7895,5347.56,2547.44,Credit Card
ORD1129,2026-02-05,CUST1009,Sahil Khan,Office Supplies,Notebook,East,West Bengal,6,154,0,924,574.74,349.26,Net Banking
ORD1130,2026-06-30,CUST1002,Omkar Pawar,Furniture,Table Lamp,West,Gujarat,6,2849,0,17094,12363.04,4730.96,UPI
ORD1131,2026-03-22,CUST1021,Neha Joshi,Accessories,Keyboard,East,West Bengal,7,3048,0.1,19202.4,13350.93,5851.47,Net Banking
ORD1132,2026-04-28,CUST1006,Sahil Khan,Office Supplies,Stapler,East,Bihar,7,165,0,1155,789.17,365.83,Debit Card
ORD1133,2026-03-28,CUST1033,Aditya Deshmukh,Furniture,Table Lamp,West,Goa,3,2164,0,6492,4886.69,1605.31,Debit Card
ORD1134,2026-03-31,CUST1010,Rohan Mehta,Furniture,Office Chair,North,Haryana,2,8871,0,17742,12180.8,5561.2,Credit Card
ORD1135,2026-06-10,CUST1021,Vikram Singh,Accessories,USB Hub,South,Telangana,8,1450,0.15,9860.0,7761.57,2098.43,Cash
ORD1136,2026-01-18,CUST1005,Ananya Rao,Accessories,USB Hub,South,Telangana,5,1405,0.05,6673.75,5163.94,1509.81,Cash
ORD1137,2026-04-26,CUST1039,Akash Yadav,Electronics,Smartphone,West,Goa,6,21728,0.05,123849.6,79257.56,44592.04,Cash
ORD1138,2026-04-29,CUST1029,Sneha Kulkarni,Electronics,Smartphone,North,Delhi,4,47473,0.05,180397.4,140223.17,40174.23,Debit Card
ORD1139,2026-01-22,CUST1024,Ananya Rao,Furniture,Desk,North,Punjab,4,7641,0.1,27507.6,24142.22,3365.38,Cash
ORD1140,2026-04-15,CUST1044,Sahil Khan,Office Supplies,Printer Paper,West,Goa,1,597,0.05,567.15,361.35,205.8,Debit Card
ORD1141,2026-03-06,CUST1042,Sahil Khan,Furniture,Office Chair,South,Tamil Nadu,2,10461,0.15,17783.7,14094.28,3689.42,Credit Card
ORD1142,2026-06-02,CUST1043,Meera Nair,Electronics,Headphones,West,Goa,7,3736,0.05,24844.4,20656.33,4188.07,Net Banking
ORD1143,2026-04-03,CUST1013,Pooja Shah,Electronics,Laptop,South,Tamil Nadu,5,76881,0,384405,333396.0,51009.0,Credit Card
ORD1144,2026-02-09,CUST1022,Kavya Iyer,Electronics,Headphones,West,Goa,2,3623,0.15,6159.1,5053.09,1106.01,Credit Card
ORD1145,2026-06-02,CUST1029,Priya Patil,Accessories,Backpack,North,Haryana,3,1531,0,4593,3840.44,752.56,Cash
ORD1146,2026-04-04,CUST1031,Aditya Deshmukh,Furniture,Table Lamp,North,Punjab,5,2619,0.1,11785.5,8024.05,3761.45,Debit Card
ORD1147,2026-06-23,CUST1013,Kavya Iyer,Accessories,Mouse,East,West Bengal,5,1345,0.1,6052.5,4543.95,1508.55,Credit Card
ORD1148,2026-03-06,CUST1006,Neha Joshi,Electronics,Smartphone,West,Gujarat,6,49495,0.15,252424.5,217821.22,34603.28,Debit Card
ORD1149,2026-04-26,CUST1027,Priya Patil,Furniture,Office Chair,South,Karnataka,2,12167,0,24334,20254.23,4079.77,Cash
ORD1150,2026-05-09,CUST1007,Kunal More,Office Supplies,Stapler,West,Gujarat,7,240,0,1680,1205.36,474.64,Credit Card
ORD1151,2026-02-05,CUST1040,Aarav Sharma,Electronics,Smartphone,East,Odisha,8,36800,0,294400,240612.74,53787.26,UPI
ORD1152,2026-01-05,CUST1050,Ananya Rao,Office Supplies,Notebook,East,West Bengal,3,135,0.15,344.25,297.59,46.66,Credit Card
ORD1153,2026-03-19,CUST1008,Tanvi Jain,Electronics,Monitor,East,West Bengal,4,9782,0.1,35215.2,27683.64,7531.56,Net Banking
ORD1154,2026-05-18,CUST1023,Pooja Shah,Electronics,Laptop,West,Goa,4,81887,0,327548,227885.2,99662.8,Net Banking
ORD1155,2026-04-17,CUST1035,Akash Yadav,Furniture,Desk,West,Goa,2,17885,0.15,30404.5,26555.6,3848.9,Net Banking
ORD1156,2026-05-22,CUST1048,Aarav Sharma,Electronics,Laptop,South,Tamil Nadu,8,77794,0,622352,488717.1,133634.9,Debit Card
ORD1157,2026-01-18,CUST1003,Isha Gupta,Office Supplies,Stapler,South,Karnataka,2,243,0.15,413.1,335.09,78.01,Net Banking
ORD1158,2026-03-28,CUST1046,Omkar Pawar,Furniture,Desk,North,Delhi,8,20605,0.1,148356.0,116348.39,32007.61,UPI
ORD1159,2026-03-17,CUST1026,Riya Desai,Furniture,Bookshelf,South,Telangana,4,4217,0,16868,11842.26,5025.74,Cash
ORD1160,2026-03-06,CUST1022,Rahul Verma,Electronics,Smartphone,West,Goa,5,30524,0.05,144989.0,122393.34,22595.66,UPI
ORD1161,2026-04-05,CUST1045,Tanvi Jain,Accessories,Keyboard,North,Punjab,8,2338,0.1,16833.6,11920.71,4912.89,Debit Card
ORD1162,2026-05-13,CUST1019,Kunal More,Office Supplies,Notebook,North,Haryana,2,285,0.1,513.0,328.59,184.41,UPI
ORD1163,2026-01-21,CUST1045,Omkar Pawar,Office Supplies,Printer Paper,East,West Bengal,5,588,0.05,2793.0,2055.48,737.52,Debit Card
ORD1164,2026-04-25,CUST1043,Sahil Khan,Electronics,Smartphone,West,Maharashtra,7,41105,0.05,273348.25,214923.35,58424.9,Debit Card
ORD1165,2026-05-12,CUST1009,Rohan Mehta,Furniture,Desk,East,West Bengal,3,7510,0.15,19150.5,15249.6,3900.9,Credit Card
ORD1166,2026-06-15,CUST1029,Isha Gupta,Office Supplies,Stapler,North,Haryana,7,305,0.15,1814.75,1140.43,674.32,Debit Card
ORD1167,2026-04-24,CUST1018,Pooja Shah,Electronics,Headphones,South,Telangana,3,5901,0.15,15047.55,10765.12,4282.43,UPI
ORD1168,2026-01-07,CUST1029,Aditya Deshmukh,Furniture,Desk,South,Telangana,7,15176,0.15,90297.2,58748.97,31548.23,Net Banking
ORD1169,2026-03-15,CUST1046,Omkar Pawar,Accessories,USB Hub,East,West Bengal,2,909,0,1818,1530.27,287.73,UPI
ORD1170,2026-06-24,CUST1011,Neha Joshi,Office Supplies,Printer Paper,South,Tamil Nadu,6,591,0,3546,2705.6,840.4,Debit Card
ORD1171,2026-05-11,CUST1024,Riya Desai,Furniture,Table Lamp,East,West Bengal,4,1297,0,5188,3535.89,1652.11,Net Banking
ORD1172,2026-04-05,CUST1026,Tanvi Jain,Accessories,Mouse,West,Gujarat,3,2045,0.15,5214.75,4432.04,782.71,Net Banking
ORD1173,2026-04-16,CUST1030,Akash Yadav,Accessories,Keyboard,West,Gujarat,2,3054,0,6108,5331.18,776.82,Debit Card
ORD1174,2026-02-02,CUST1034,Vikram Singh,Furniture,Desk,West,Maharashtra,3,19579,0.1,52863.3,39686.84,13176.46,Debit Card
ORD1175,2026-02-12,CUST1017,Aditya Deshmukh,Furniture,Desk,South,Karnataka,4,12286,0.05,46686.8,40446.9,6239.9,Net Banking
ORD1176,2026-03-12,CUST1038,Vikram Singh,Furniture,Office Chair,North,Haryana,5,15240,0.15,64770.0,49141.28,15628.72,Credit Card
ORD1177,2026-06-18,CUST1014,Nikhil Shinde,Office Supplies,Printer Paper,South,Telangana,1,681,0,681,436.6,244.4,Cash
ORD1178,2026-06-08,CUST1030,Rohan Mehta,Electronics,Laptop,East,Odisha,5,81319,0.05,386265.25,287986.1,98279.15,UPI
ORD1179,2026-02-10,CUST1046,Kunal More,Accessories,Mouse,North,Punjab,8,1251,0.1,9007.2,6062.26,2944.94,Debit Card
ORD1180,2026-04-13,CUST1030,Sneha Kulkarni,Furniture,Office Chair,South,Karnataka,6,17462,0.15,89056.2,68219.66,20836.54,Debit Card
ORD1181,2026-04-26,CUST1027,Pooja Shah,Furniture,Table Lamp,East,Bihar,2,1377,0,2754,1915.28,838.72,Credit Card
ORD1182,2026-03-25,CUST1020,Tanvi Jain,Office Supplies,Printer Paper,East,Odisha,3,347,0.1,936.9,823.49,113.41,UPI
ORD1183,2026-01-24,CUST1004,Ananya Rao,Accessories,Backpack,South,Karnataka,8,2970,0,23760,16060.28,7699.72,Cash
ORD1184,2026-06-02,CUST1024,Sahil Khan,Accessories,USB Hub,South,Telangana,1,1085,0,1085,794.26,290.74,Debit Card
ORD1185,2026-01-12,CUST1033,Omkar Pawar,Accessories,Backpack,West,Gujarat,4,1109,0.05,4214.2,3218.97,995.23,Net Banking
ORD1186,2026-03-13,CUST1024,Vikram Singh,Electronics,Monitor,South,Telangana,2,11108,0.1,19994.4,14336.62,5657.78,Credit Card
ORD1187,2026-06-04,CUST1034,Omkar Pawar,Accessories,Backpack,South,Tamil Nadu,1,2948,0,2948,1857.59,1090.41,Credit Card
ORD1188,2026-06-05,CUST1022,Akash Yadav,Furniture,Office Chair,South,Telangana,6,10373,0,62238,44946.3,17291.7,Net Banking
ORD1189,2026-05-17,CUST1044,Sneha Kulkarni,Accessories,USB Hub,South,Tamil Nadu,5,1951,0.1,8779.5,7305.38,1474.12,Cash
ORD1190,2026-05-30,CUST1004,Nikhil Shinde,Office Supplies,Pen Set,North,Haryana,1,471,0.15,400.35,297.62,102.73,Cash
